threads,x,y,resultado,tempo
1,1000,1000,1.3995579745,0.130284
1,1000,10000,1.3995586262,0.999317
1,1000,100000,1.3995586328,9.974072
1,10000,1000,1.3995586262,1.028235
1,10000,10000,1.3995592780,9.721240
1,10000,100000,1.3995592845,116.598377
1,100000,1000,1.3995586328,11.956577
1,100000,10000,1.3995592845,117.674929
1,100000,100000,0.1674046624,149.767955
2,1000,1000,1.3995579745,0.081063
2,1000,10000,1.3995586262,0.737824
2,1000,100000,1.3995586328,6.558256
2,10000,1000,1.3995586262,0.721819
2,10000,10000,1.3995592780,6.702151
2,10000,100000,1.3995592845,60.941062
2,100000,1000,1.3995586328,7.018366
2,100000,10000,1.3995592845,62.483852
2,100000,100000,0.1674046624,64.304565
4,1000,1000,1.3995579745,0.054901
4,1000,10000,1.3995586262,0.456871
4,1000,100000,1.3995586328,4.117611
4,10000,1000,1.3995586262,0.427337
4,10000,10000,1.3995592780,3.958775
4,10000,100000,1.3995592845,39.030185
4,100000,1000,1.3995586328,3.985621
4,100000,10000,1.3995592845,39.945672
4,100000,100000,0.1674046624,48.821586
8,1000,1000,1.3995579745,0.053864
8,1000,10000,1.3995586262,0.444636
8,1000,100000,1.3995586328,3.856442
8,10000,1000,1.3995586262,0.421015
8,10000,10000,1.3995592780,3.839338
8,10000,100000,1.3995592845,38.008370
8,100000,1000,1.3995586328,3.841375
8,100000,10000,1.3995592845,38.539617
8,100000,100000,0.1674046624,50.432640
