threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013315
1,1000,10000,1.3995586262,0.123004
1,1000,100000,1.3995586328,1.220336
1,10000,1000,1.3995586262,0.122976
1,10000,10000,1.3995592780,1.195942
1,10000,100000,1.3995592845,11.750153
1,100000,1000,1.3995586328,1.192352
1,100000,10000,1.3995592845,11.758949
1,100000,100000,1.3995592911,117.281814
2,1000,1000,1.3995579745,0.006464
2,1000,10000,1.3995586262,0.069100
2,1000,100000,1.3995586328,0.647145
2,10000,1000,1.3995586262,0.066151
2,10000,10000,1.3995592780,0.654578
2,10000,100000,1.3995592845,6.793197
2,100000,1000,1.3995586328,0.670213
2,100000,10000,1.3995592845,6.630015
2,100000,100000,1.3995592910,65.570682
4,1000,1000,1.3995579745,0.006093
4,1000,10000,1.3995586262,0.124319
4,1000,100000,1.3995586328,2.636533
4,10000,1000,1.3995586262,0.088797
4,10000,10000,1.3995592780,0.431166
4,10000,100000,1.3995592845,4.032444
4,100000,1000,1.3995586328,0.431243
4,100000,10000,1.3995592845,3.944761
4,100000,100000,1.3995592910,38.808111
8,1000,1000,1.3995579745,0.027585
8,1000,10000,1.3995586262,0.274481
8,1000,100000,1.3995586328,0.400063
8,10000,1000,1.3995586262,0.059642
8,10000,10000,1.3995592780,0.394179
8,10000,100000,1.3995592845,3.597915
8,100000,1000,1.3995586328,0.376128
8,100000,10000,1.3995592845,3.696626
8,100000,100000,1.3995592910,35.002649
